instance_id,repo,qwen_consensus,frontier_consensus,qwen_solvers,api_calls,patch_churn,runtime_sec,FAIL_TO_PASS_failure,PASS_TO_PASS_failure,patch_successfully_applied,has_traj
django__django-15037,django/django,1,6,OpenHands (Qwen-480B),601,9,3255.773579120636,1,0,True,True
django__django-15127,django/django,1,4,OpenHands (Qwen-480B),428,2,2120.0528802871704,1,0,True,True
django__django-16454,django/django,1,6,EntroPO+R2E (Qwen-30B),639,36,3207.3049762248997,0,1,True,True
matplotlib__matplotlib-22865,matplotlib/matplotlib,1,7,OpenHands (Qwen-480B),468,30,3259.7998929023743,2,0,True,True
pydata__xarray-4687,pydata/xarray,1,3,OpenHands (Qwen-480B),715,30,4016.125755548477,1,11,True,True
pydata__xarray-6599,pydata/xarray,1,1,EntroPO+R2E (Qwen-30B) +TTS,663,13,5454.800942897797,0,0,True,True
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,1,7,OpenHands (Qwen-480B),444,4,2395.6939945220947,0,1,True,True
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,1,7,EntroPO+R2E (Qwen-30B),446,10,2723.1873807907104,2,0,True,True
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,1,1,OpenHands (Qwen-480B),502,4,2999.848840236664,1,0,True,True
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,1,2,OpenHands (Qwen-480B),689,31,3589.151826381684,1,0,True,True
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,1,0,OpenHands (Qwen-480B),572,152,2989.755599975586,1,0,True,True
sympy__sympy-14976,sympy/sympy,1,5,EntroPO+R2E (Qwen-30B) +TTS,422,10,2319.897046327591,1,0,True,True
sympy__sympy-15875,sympy/sympy,1,2,OpenHands (Qwen-480B),683,36,4012.678374528885,1,0,True,True
sympy__sympy-17318,sympy/sympy,1,0,OpenHands (Qwen-480B),458,2,3372.627052307129,1,0,True,True
sympy__sympy-18698,sympy/sympy,1,4,OpenHands (Qwen-480B),704,29,4253.733621835709,1,0,True,True
